,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
14169,-34.5644852,-58.4356487,Belgrano,departamento,3,2,135,123,295000
393101,-34.635573718,-58.4186518192,Boedo,ph,3,2,59,59,99000
277723,-34.5936314,-58.4359692,Villa Crespo,departamento,1,1,48,45,110000
268655,-34.5914752,-58.3779191,Retiro,departamento,4,3,95,85,285000
449870,-34.5630547,-58.4764363,Coghlan,ph,4,3,180,150,250000
217414,-34.6090268,-58.4447798,Caballito,departamento,2,1,35,35,74000
260209,-34.605629,-58.424174,Almagro,departamento,3,2,69,60,120000
350823,-34.6052509,-58.4592149,Villa Crespo,departamento,3,2,62,62,113357
159246,-34.5881316,-58.4978735,Villa Pueyrredón,ph,3,2,153,90,179900
238626,-34.6123559,-58.386472,San Nicolás,departamento,3,3,86,80,140000
367654,-34.6182391,-58.3857803,Constitución,departamento,3,2,64,64,99000
442581,-34.59199,-58.396196,Recoleta,departamento,4,3,135,128,265000
401726,-34.6127667,-58.396004,Balvanera,departamento,2,1,40,35,43000
7544,-34.5632047,-58.4513922,Belgrano,departamento,4,3,104,104,235000
230911,-34.595676,-58.397732,Recoleta,departamento,4,3,150,142,395000
193470,-34.5747789,-58.4463632,Colegiales,departamento,3,2,85,60,175000
447565,-34.6072124,-58.4152904,Almagro,departamento,3,2,75,66,137000
399530,-34.6066,-58.3916,San Nicolás,departamento,3,2,63,55,123000
218849,-34.6271222,-58.5253424,Versalles,casa,6,5,260,185,290000
370335,-34.5892223,-58.4083581,Barrio Norte,departamento,3,2,75,73,160000
19867,-34.6170202,-58.445704,Caballito,departamento,3,2,73,64,250000
115618,-34.6187067,-58.4788339,Villa Santa Rita,departamento,1,1,37,33,69800
382404,-34.57572,-58.4407005,Palermo,departamento,3,2,68,62,162000
256325,-34.5843453,-58.4430418,Palermo,departamento,2,1,91,70,274500
304871,-34.5797132,-58.5131743,Villa Pueyrredón,departamento,2,1,42,38,119900
361300,-34.6417306,-58.4517124,Flores,casa,5,4,166,166,159000
452791,-34.6130746,-58.4456296,Caballito,ph,3,1,140,140,190000
27916,-34.6217465,-58.4384106,Caballito,departamento,4,3,95,83,160000
398569,-34.59897,-58.388257,Recoleta,departamento,4,3,100,82,195000
446130,-34.5926076,-58.4108793,Palermo,departamento,2,1,61,30,145000
300675,-34.5674764,-58.4564212,Belgrano,departamento,2,1,41,38,118000
332336,-34.5953348,-58.4191282,Palermo,departamento,4,3,139,89,300000
50960,-34.5951051,-58.418294,Palermo,departamento,3,2,79,54,240000
436006,-34.581534,-58.4220623,Palermo,departamento,3,2,113,104,296261
373796,-34.5862086,-58.4118297,Palermo,departamento,4,3,138,138,350000
271980,-34.5831759,-58.4354366,Palermo,departamento,2,1,51,48,170000
290760,-34.5981595417,-58.4040886282,Recoleta,departamento,3,2,52,50,149000
366099,-34.6363062,-58.3782162,Barracas,departamento,4,3,89,83,145000
84984,-34.642979669,-58.4537672997,Flores,casa,4,3,172,132,179900
392671,-34.5545564869,-58.4544995842,Belgrano,departamento,2,1,48,43,145000
101028,-34.6142203,-58.3798441,San Telmo,departamento,1,1,38,35,89900
31944,-34.5921884,-58.3790738,Retiro,departamento,4,3,108,91,259000
166349,-34.6045328,-58.5188239,Villa Devoto,casa,5,3,247,220,395000
128646,-34.6313624,-58.4598901,Flores,departamento,2,1,45,39,97000
355948,-34.6044389,-58.5020967,Villa del Parque,departamento,2,1,50,45,89000
337348,-34.5880962,-58.4127882,Palermo,departamento,2,1,50,50,104999
252514,-34.558972,-58.4612599,Nuñez,departamento,1,1,37,33,95000
435905,-34.5882896,-58.384315,Retiro,departamento,3,2,139,133,550000
160458,-34.5777238,-58.4670809,Villa Ortuzar,departamento,3,2,104,91,220000
397657,-34.5866549,-58.4107529,Palermo,departamento,5,3,148,145,298000
132550,-34.5895915,-58.5138703,Villa Devoto,casa,4,3,146,96,160000
441753,-34.6418383,-58.4655095,Flores,ph,4,3,199,140,249900
432177,-34.585103,-58.4929023,Villa Pueyrredón,ph,2,1,45,36,89000
447572,-34.580186,-58.428451,Palermo,departamento,3,2,99,48,262615
32774,-34.62532,-58.414164,Boedo,departamento,5,3,160,112,270000
62089,-34.557688,-58.458373,Belgrano,departamento,2,1,50,50,151000
213749,-34.58221834118078,-58.42513596685544,Palermo,departamento,2,1,50,44,135000
58737,-34.613229,-58.4119942,Balvanera,ph,3,2,85,85,132000
66515,-34.581534,-58.4220623,Palermo,departamento,2,1,62,57,149000
307684,-34.6028169591,-58.3996220148,Once,departamento,4,3,87,80,189000
68096,-34.597404,-58.423818,Palermo,departamento,2,1,46,40,79034
30496,-34.5672815,-58.4858607,Villa Urquiza,departamento,3,2,65,52,140000
366878,-34.5895381,-58.4471849,Chacarita,departamento,3,2,57,52,128000
443779,-34.582386401,-58.4319733778,Palermo,departamento,3,2,78,73,490000
28059,-34.5976786,-58.4430195,Villa Crespo,departamento,3,2,65,58,160000
431343,-34.5799135,-58.4945873,Villa Urquiza,departamento,3,2,67,57,155000
114069,-34.6179455,-58.3774114,San Telmo,departamento,3,2,45,45,69000
369233,-34.5962057,-58.5098539,Villa Devoto,departamento,3,3,75,62,160000
124280,-34.62837206561156,-58.463136978261836,Flores,departamento,4,3,91,83,192300
428660,-34.6161954,-58.4585751,Caballito,ph,4,3,99,76,185000
400173,-34.597564,-58.4881894,Villa del Parque,departamento,2,1,37,35,80000
287809,-34.6408936,-58.4836807,Parque Avellaneda,departamento,3,2,54,50,72000
367296,-34.6294051,-58.5101456,Villa Luro,casa,4,3,153,100,270000
155493,-34.5683822,-58.4731617,Coghlan,ph,3,2,82,70,170000
199077,-34.6139704,-58.3889624,Monserrat,departamento,2,1,50,47,125000
334861,-34.6216834,-58.4876979,Villa Santa Rita,casa,4,2,255,125,225000
315521,-34.6070638,-58.4456867,Caballito,departamento,3,2,67,64,185000
237099,-34.6011256,-58.4965218,Villa del Parque,departamento,4,3,60,60,90000
72515,-34.608946,-58.400531,Balvanera,departamento,2,1,42,35,67000
332864,-34.6198051,-58.3771847,San Telmo,departamento,4,3,97,97,160000
415652,-34.5760225,-58.4483554,Colegiales,departamento,2,1,50,44,160000
260774,-34.5848621,-58.4053936,Recoleta,departamento,3,2,89,80,280000
310895,-34.615462,-58.4744543,Villa Santa Rita,departamento,4,3,182,106,170000
428614,-34.6259136,-58.4333234,Caballito,departamento,4,2,124,124,345000
36281,-34.5401388,-58.4740171,Nuñez,departamento,2,1,46,42,160000
238182,-34.6101642514,-58.4296059608,Almagro,departamento,3,2,57,50,110000
326060,-34.56249044330229,-58.4546909450343,Belgrano,departamento,5,4,103,91,255000
257400,-34.6202551,-58.4297249,Caballito,departamento,5,4,192,180,440000
337878,-34.5775656,-58.4504375,Colegiales,ph,5,4,111,65,215000
282358,-34.58221834118078,-58.42513596685544,Palermo,departamento,2,1,74,42,230000
311678,-34.5795573,-58.433152,Palermo,departamento,2,1,52,42,124800
157211,-34.5582056,-58.4429231,Belgrano,departamento,2,1,49,43,169000
290491,-34.5804909,-58.431925,Palermo,departamento,1,1,33,31,119000
36722,-34.5695558,-58.4443161,Belgrano,departamento,3,2,79,73,158000
190530,-34.5986669,-58.4267436,Almagro,departamento,3,2,74,69,206000
337369,-34.6462424,-58.4192968,Pompeya,ph,6,3,198,128,230000
430747,-34.6036084,-58.460762,Villa Crespo,departamento,2,1,51,46,122500
185868,-34.5703621,-58.5045259,Villa Urquiza,casa,5,4,155,109,310000
453246,-34.5761495,-58.4509413,Colegiales,departamento,1,1,40,40,69900
144176,-34.6390497,-58.4757456,Floresta,departamento,2,1,51,46,105000
267917,-34.604283,-58.4158776,Almagro,departamento,2,1,37,34,83000
222873,-34.5856872,-58.4399046,Palermo,departamento,2,1,53,46,150000
103800,-34.5898547,-58.4063161,Recoleta,departamento,5,3,127,103,420000
406881,-34.5775948,-58.495185,Villa Urquiza,departamento,2,1,76,55,160000
206672,-34.6178089,-58.3601785,Puerto Madero,departamento,2,1,65,61,330000
226436,-34.576473102,-58.4582550064,Colegiales,departamento,3,2,44,40,99500
12544,-34.6252774,-58.3790216,San Telmo,departamento,1,1,34,31,62146
423319,-34.56249044330229,-58.4546909450343,Belgrano,departamento,4,3,115,102,379000
278278,-34.5948187,-58.3874631,Recoleta,casa,4,3,108,108,265000
447310,-34.61331,-58.4188239,Almagro,departamento,2,1,35,35,65000
262002,-34.5967269,-58.4209249,Palermo,departamento,1,1,34,31,80000
162812,-34.5594889,-58.4674763,Nuñez,ph,4,3,95,80,158000
72217,-34.5536258,-58.459543,Nuñez,departamento,1,1,37,30,93000
333245,-34.5749772257,-58.4916347265,Villa Urquiza,departamento,2,1,50,45,139000
382424,-34.5774483,-58.4242959,Palermo,departamento,3,2,70,58,208000
398877,-34.6364736,-58.4773686,Caballito,departamento,3,2,52,46,111000
11253,-34.6308075,-58.4346583,Parque Chacabuco,departamento,2,1,33,33,84000
270420,-34.5658047,-58.4564425,Belgrano,departamento,3,2,106,98,230000
257050,-34.5898512,-58.3826697,Recoleta,departamento,4,3,95,95,270000
168068,-34.6168954,-58.4414313,Caballito,departamento,2,1,45,37,128250
193472,-34.578351,-58.451098,Colegiales,departamento,3,2,131,131,369000
